usage_start_time,project_id,service_description,location_region,resource_name,label_team,label_project,label_env,cost_type,usage_amount,usage_unit,cost,currency,utilization_pct,attached
2026-06-01,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.0336,USD,2.2,
2026-06-01,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,16.8043,USD,64.2,
2026-06-01,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,21.0342,USD,22.2,
2026-06-01,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,12.8353,USD,82.5,
2026-06-01,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,1.9865,USD,0.9,
2026-06-01,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.2445,USD,,False
2026-06-01,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.1884,USD,,True
2026-06-01,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,23.353,USD,,
2026-06-01,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.7744,USD,,
2026-06-01,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.7066,USD,,
2026-06-02,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.4504,USD,2.0,
2026-06-02,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,16.233,USD,65.5,
2026-06-02,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,19.7247,USD,19.0,
2026-06-02,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,14.4201,USD,84.9,
2026-06-02,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,1.9604,USD,0.9,
2026-06-02,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.4261,USD,,False
2026-06-02,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.6742,USD,,True
2026-06-02,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,26.181,USD,,
2026-06-02,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.741,USD,,
2026-06-02,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.651,USD,,
2026-06-03,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.4425,USD,2.0,
2026-06-03,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,16.8933,USD,69.2,
2026-06-03,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,20.9649,USD,22.2,
2026-06-03,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,14.3014,USD,63.6,
2026-06-03,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.0624,USD,1.1,
2026-06-03,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.5255,USD,,False
2026-06-03,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.2741,USD,,True
2026-06-03,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,23.5068,USD,,
2026-06-03,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.539,USD,,
2026-06-03,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.6164,USD,,
2026-06-04,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.2525,USD,1.9,
2026-06-04,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,17.4131,USD,56.8,
2026-06-04,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,19.5092,USD,22.7,
2026-06-04,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,13.4745,USD,88.5,
2026-06-04,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,1.97,USD,1.2,
2026-06-04,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.7508,USD,,False
2026-06-04,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.1008,USD,,True
2026-06-04,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,25.7545,USD,,
2026-06-04,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.2819,USD,,
2026-06-04,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.8301,USD,,
2026-06-05,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.2919,USD,2.3,
2026-06-05,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,15.9341,USD,62.3,
2026-06-05,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,22.1551,USD,16.7,
2026-06-05,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,12.8445,USD,82.5,
2026-06-05,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.0143,USD,1.0,
2026-06-05,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.5377,USD,,False
2026-06-05,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.474,USD,,True
2026-06-05,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,25.922,USD,,
2026-06-05,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.7878,USD,,
2026-06-05,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.6447,USD,,
2026-06-06,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.3347,USD,2.1,
2026-06-06,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,16.9797,USD,57.8,
2026-06-06,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,21.862,USD,18.2,
2026-06-06,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,12.9465,USD,81.4,
2026-06-06,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.0726,USD,1.0,
2026-06-06,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.5345,USD,,False
2026-06-06,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.2323,USD,,True
2026-06-06,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,24.2335,USD,,
2026-06-06,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.3536,USD,,
2026-06-06,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.9144,USD,,
2026-06-07,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.0902,USD,2.3,
2026-06-07,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,16.8762,USD,51.8,
2026-06-07,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,22.715,USD,19.7,
2026-06-07,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,14.6803,USD,73.5,
2026-06-07,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,1.9498,USD,1.1,
2026-06-07,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.6935,USD,,False
2026-06-07,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.273,USD,,True
2026-06-07,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,24.5848,USD,,
2026-06-07,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.0241,USD,,
2026-06-07,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.7182,USD,,
2026-06-08,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.4004,USD,2.3,
2026-06-08,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,17.4727,USD,69.2,
2026-06-08,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,22.1285,USD,22.1,
2026-06-08,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,13.8193,USD,64.8,
2026-06-08,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.0015,USD,0.9,
2026-06-08,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.6626,USD,,False
2026-06-08,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.0665,USD,,True
2026-06-08,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,25.4178,USD,,
2026-06-08,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.2867,USD,,
2026-06-08,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.8312,USD,,
2026-06-09,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.2264,USD,2.1,
2026-06-09,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,15.7811,USD,55.9,
2026-06-09,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,23.5444,USD,21.6,
2026-06-09,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,13.8567,USD,82.3,
2026-06-09,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.2262,USD,0.8,
2026-06-09,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.7645,USD,,False
2026-06-09,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.5002,USD,,True
2026-06-09,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,24.9983,USD,,
2026-06-09,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.5556,USD,,
2026-06-09,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.6328,USD,,
2026-06-10,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.3935,USD,2.2,
2026-06-10,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,17.278,USD,53.1,
2026-06-10,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,23.5895,USD,19.5,
2026-06-10,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,14.7069,USD,63.0,
2026-06-10,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.0031,USD,0.9,
2026-06-10,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.3122,USD,,False
2026-06-10,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.2752,USD,,True
2026-06-10,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,26.044,USD,,
2026-06-10,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.267,USD,,
2026-06-10,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.8905,USD,,
2026-06-11,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.4022,USD,2.2,
2026-06-11,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,16.2256,USD,62.9,
2026-06-11,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,22.2819,USD,17.3,
2026-06-11,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,13.3646,USD,75.9,
2026-06-11,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.1467,USD,0.9,
2026-06-11,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.7473,USD,,False
2026-06-11,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.1566,USD,,True
2026-06-11,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,25.84,USD,,
2026-06-11,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.5906,USD,,
2026-06-11,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.7454,USD,,
2026-06-12,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.3754,USD,2.0,
2026-06-12,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,17.7794,USD,49.8,
2026-06-12,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,20.634,USD,21.0,
2026-06-12,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,13.9695,USD,79.1,
2026-06-12,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.2527,USD,1.0,
2026-06-12,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.5778,USD,,False
2026-06-12,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.3986,USD,,True
2026-06-12,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,25.7127,USD,,
2026-06-12,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.2183,USD,,
2026-06-12,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.8973,USD,,
2026-06-13,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.1913,USD,2.2,
2026-06-13,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,17.4002,USD,55.6,
2026-06-13,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,20.8719,USD,16.8,
2026-06-13,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,13.6666,USD,74.6,
2026-06-13,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.072,USD,1.0,
2026-06-13,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.395,USD,,False
2026-06-13,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.5537,USD,,True
2026-06-13,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,26.1443,USD,,
2026-06-13,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.7117,USD,,
2026-06-13,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.9054,USD,,
2026-06-14,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.011,USD,1.9,
2026-06-14,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,17.0667,USD,56.1,
2026-06-14,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,22.4317,USD,18.3,
2026-06-14,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,13.2434,USD,64.1,
2026-06-14,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.1161,USD,1.0,
2026-06-14,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.5646,USD,,False
2026-06-14,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.2228,USD,,True
2026-06-14,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,26.6729,USD,,
2026-06-14,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.106,USD,,
2026-06-14,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.6255,USD,,
2026-06-15,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.2398,USD,1.9,
2026-06-15,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,17.6115,USD,60.0,
2026-06-15,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,22.7564,USD,20.0,
2026-06-15,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,13.3773,USD,62.1,
2026-06-15,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.3612,USD,1.0,
2026-06-15,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.7613,USD,,False
2026-06-15,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.1995,USD,,True
2026-06-15,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,24.6069,USD,,
2026-06-15,cost-demo-project,Cloud Storage,us-central1,gcs-gcp-assets,platform,web,prod,regular,100,gibibyte month,5.0117,USD,,
2026-06-15,cost-demo-project,Cloud Load Balancing,us-central1,lb-gcp-frontend-01,,,,regular,24,hour,2.6978,USD,,
2026-06-16,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-01,platform,web,prod,regular,24,hour,3.3958,USD,2.1,
2026-06-16,cost-demo-project,Compute Engine,us-central1,vm-gcp-web-02,platform,web,prod,regular,24,hour,16.8205,USD,60.8,
2026-06-16,cost-demo-project,Compute Engine,us-west1,vm-gcp-batch-03,data,etl,prod,regular,24,hour,24.1226,USD,19.5,
2026-06-16,cost-demo-project,Compute Engine,us-central1,vm-gcp-api-04,platform,api,prod,committed_use_discount,24,hour,14.6445,USD,81.1,
2026-06-16,cost-demo-project,Compute Engine,europe-west1,vm-gcp-legacy-05,,,,regular,24,hour,2.3124,USD,1.0,
2026-06-16,cost-demo-project,Persistent Disk,us-central1,disk-gcp-orphan-01,platform,web,prod,regular,100,gibibyte month,3.4443,USD,,False
2026-06-16,cost-demo-project,Persistent Disk,us-central1,disk-gcp-active-02,platform,web,prod,regular,100,gibibyte month,4.4495,USD,,True
2026-06-16,cost-demo-project,Cloud SQL,us-central1,sql-gcp-prod-01,platform,web,prod,regular,24,hour,23.9689,USD,,
