Customer ID,Account Name,Billing Cycle,Enterprise Project Name,Enterprise Project ID,Resource ID,Resource Name,Resource Tag,Service Type Code,Service Type Name,Resource Type Code,Resource Type Name,Offering Instance ID,Offering Instance Name,Specifications Code,Specifications Name,Specifications Description,Specifications Size,Specifications Measure ID,Specifications Measure Name,Region Code,Region Name,Usage Type Code,Usage,Usage Measure,Billing Mode,Reservation Status,Amount(AED),Test Coupon Used(AED),Consumption Payment(AED),Payment Amount(AED),Avg CPU Utilization,Volume Attached
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Jan 2023,web-platform,0,ecs-idle-01,ecs-idle-01,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000000000,Normal|s6.large.2|2vCPUs|4GB|linux Ondemand,s6.large.2.linux,Normal|s6.large.2|2vCPUs|4GB|linux,Normal|s6.large.2|2vCPUs|4GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,193.0936,0,193.0936,193.0936,1.9,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Jan 2023,web-platform,0,ecs-web-02,ecs-web-02,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000001000,Normal|s6.large.4|2vCPUs|8GB|linux Ondemand,s6.large.4.linux,Normal|s6.large.4|2vCPUs|8GB|linux,Normal|s6.large.4|2vCPUs|8GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,2352.5108,0,2352.5108,2352.5108,66.2,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Jan 2023,data-etl,0,ecs-batch-03,ecs-batch-03,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000002000,Normal|s6.xlarge.4|4vCPUs|16GB|linux Ondemand,s6.xlarge.4.linux,Normal|s6.xlarge.4|4vCPUs|16GB|linux,Normal|s6.xlarge.4|4vCPUs|16GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,2958.6285,0,2958.6285,2958.6285,16.9,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Jan 2023,web-platform,0,ecs-api-04,ecs-api-04,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000003000,Normal|s6.large.4|2vCPUs|8GB|linux Yearly/Monthly,s6.large.4.linux,Normal|s6.large.4|2vCPUs|8GB|linux,Normal|s6.large.4|2vCPUs|8GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,Yearly/Monthly,Reserved,2221.0839,0,2221.0839,2221.0839,63.7,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Jan 2023,default,0,ecs-legacy-05,ecs-legacy-05,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000004000,Normal|s6.medium.2|1vCPUs|2GB|linux Ondemand,s6.medium.2.linux,Normal|s6.medium.2|1vCPUs|2GB|linux,Normal|s6.medium.2|1vCPUs|2GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,149.4277,0,149.4277,149.4277,1.2,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Jan 2023,web-platform,0,evs-orphan-01,evs-orphan-01,,hws.service.type.ebs,Elastic Volume Service,hws.resource.type.volume,Elastic Volume Service,OFFI535300000000005000,High IO Ondemand,SAS,High IO,High IO,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,261.6883,0,261.6883,261.6883,,False
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Jan 2023,web-platform,0,evs-active-02,evs-active-02,,hws.service.type.ebs,Elastic Volume Service,hws.resource.type.volume,Elastic Volume Service,OFFI535300000000006000,High IO Ondemand,SAS,High IO,High IO,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,308.3476,0,308.3476,308.3476,,True
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Jan 2023,web-platform,0,rds-prod-01,rds-prod-01,,hws.service.type.rds,Relational Database Service,hws.resource.type.rds,Relational Database Service,OFFI535300000000007000,rds.pg.c6.large Ondemand,rds.pg.c6.large,rds.pg.c6.large|2vCPUs|8GB,rds.pg.c6.large|2vCPUs|8GB,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,4162.9358,0,4162.9358,4162.9358,,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Jan 2023,web-platform,0,obs-assets-01,obs-assets-01,,hws.service.type.obs,Object Storage Service,hws.resource.type.obs,Cloud Storage,OFFI535300000000008000,Object Storage Service Ondemand,0,Object Storage Service,Object Storage Service,,,,ae-ad-1,UAE-Abu Dhabi,size,1,GB,On Demand,Unreserved,516.0608,0,516.0608,516.0608,,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Jan 2023,default,0,bandwidth-01,ABGW-bandwidth-01,,hws.service.type.vpc,Virtual Private Cloud,hws.resource.type.bandwidth,Bandwidth,OFFI535300000000009000,Dynamic BGP|Traffic Bandwidth Ondemand,12_bgp,Dynamic BGP|Traffic Bandwidth,Dynamic BGP|Traffic Bandwidth,,,,ae-ad-1,UAE-Abu Dhabi,upflow,1,Byte,On Demand,Unreserved,216.6401,0,216.6401,216.6401,,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Feb 2023,web-platform,0,ecs-idle-01,ecs-idle-01,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000000001,Normal|s6.large.2|2vCPUs|4GB|linux Ondemand,s6.large.2.linux,Normal|s6.large.2|2vCPUs|4GB|linux,Normal|s6.large.2|2vCPUs|4GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,189.6652,0,189.6652,189.6652,1.9,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Feb 2023,web-platform,0,ecs-web-02,ecs-web-02,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000001001,Normal|s6.large.4|2vCPUs|8GB|linux Ondemand,s6.large.4.linux,Normal|s6.large.4|2vCPUs|8GB|linux,Normal|s6.large.4|2vCPUs|8GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,2552.419,0,2552.419,2552.419,61.9,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Feb 2023,data-etl,0,ecs-batch-03,ecs-batch-03,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000002001,Normal|s6.xlarge.4|4vCPUs|16GB|linux Ondemand,s6.xlarge.4.linux,Normal|s6.xlarge.4|4vCPUs|16GB|linux,Normal|s6.xlarge.4|4vCPUs|16GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,3421.3377,0,3421.3377,3421.3377,16.1,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Feb 2023,web-platform,0,ecs-api-04,ecs-api-04,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000003001,Normal|s6.large.4|2vCPUs|8GB|linux Yearly/Monthly,s6.large.4.linux,Normal|s6.large.4|2vCPUs|8GB|linux,Normal|s6.large.4|2vCPUs|8GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,Yearly/Monthly,Reserved,2146.8815,0,2146.8815,2146.8815,63.3,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Feb 2023,default,0,ecs-legacy-05,ecs-legacy-05,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000004001,Normal|s6.medium.2|1vCPUs|2GB|linux Ondemand,s6.medium.2.linux,Normal|s6.medium.2|1vCPUs|2GB|linux,Normal|s6.medium.2|1vCPUs|2GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,154.8681,0,154.8681,154.8681,1.0,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Feb 2023,web-platform,0,evs-orphan-01,evs-orphan-01,,hws.service.type.ebs,Elastic Volume Service,hws.resource.type.volume,Elastic Volume Service,OFFI535300000000005001,High IO Ondemand,SAS,High IO,High IO,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,272.6758,0,272.6758,272.6758,,False
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Feb 2023,web-platform,0,evs-active-02,evs-active-02,,hws.service.type.ebs,Elastic Volume Service,hws.resource.type.volume,Elastic Volume Service,OFFI535300000000006001,High IO Ondemand,SAS,High IO,High IO,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,317.0232,0,317.0232,317.0232,,True
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Feb 2023,web-platform,0,rds-prod-01,rds-prod-01,,hws.service.type.rds,Relational Database Service,hws.resource.type.rds,Relational Database Service,OFFI535300000000007001,rds.pg.c6.large Ondemand,rds.pg.c6.large,rds.pg.c6.large|2vCPUs|8GB,rds.pg.c6.large|2vCPUs|8GB,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,4109.8064,0,4109.8064,4109.8064,,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Feb 2023,web-platform,0,obs-assets-01,obs-assets-01,,hws.service.type.obs,Object Storage Service,hws.resource.type.obs,Cloud Storage,OFFI535300000000008001,Object Storage Service Ondemand,0,Object Storage Service,Object Storage Service,,,,ae-ad-1,UAE-Abu Dhabi,size,1,GB,On Demand,Unreserved,461.5532,0,461.5532,461.5532,,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Feb 2023,default,0,bandwidth-01,ABGW-bandwidth-01,,hws.service.type.vpc,Virtual Private Cloud,hws.resource.type.bandwidth,Bandwidth,OFFI535300000000009001,Dynamic BGP|Traffic Bandwidth Ondemand,12_bgp,Dynamic BGP|Traffic Bandwidth,Dynamic BGP|Traffic Bandwidth,,,,ae-ad-1,UAE-Abu Dhabi,upflow,1,Byte,On Demand,Unreserved,203.4,0,203.4,203.4,,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Mar 2023,web-platform,0,ecs-idle-01,ecs-idle-01,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000000002,Normal|s6.large.2|2vCPUs|4GB|linux Ondemand,s6.large.2.linux,Normal|s6.large.2|2vCPUs|4GB|linux,Normal|s6.large.2|2vCPUs|4GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,184.003,0,184.003,184.003,2.0,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Mar 2023,web-platform,0,ecs-web-02,ecs-web-02,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000001002,Normal|s6.large.4|2vCPUs|8GB|linux Ondemand,s6.large.4.linux,Normal|s6.large.4|2vCPUs|8GB|linux,Normal|s6.large.4|2vCPUs|8GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,2639.1786,0,2639.1786,2639.1786,55.7,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Mar 2023,data-etl,0,ecs-batch-03,ecs-batch-03,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000002002,Normal|s6.xlarge.4|4vCPUs|16GB|linux Ondemand,s6.xlarge.4.linux,Normal|s6.xlarge.4|4vCPUs|16GB|linux,Normal|s6.xlarge.4|4vCPUs|16GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,3555.7228,0,3555.7228,3555.7228,13.2,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Mar 2023,web-platform,0,ecs-api-04,ecs-api-04,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000003002,Normal|s6.large.4|2vCPUs|8GB|linux Yearly/Monthly,s6.large.4.linux,Normal|s6.large.4|2vCPUs|8GB|linux,Normal|s6.large.4|2vCPUs|8GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,Yearly/Monthly,Reserved,2241.8217,0,2241.8217,2241.8217,78.9,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Mar 2023,default,0,ecs-legacy-05,ecs-legacy-05,,hws.service.type.ec2,Elastic Cloud Server,hws.resource.type.vm,Cloud Host,OFFI535300000000004002,Normal|s6.medium.2|1vCPUs|2GB|linux Ondemand,s6.medium.2.linux,Normal|s6.medium.2|1vCPUs|2GB|linux,Normal|s6.medium.2|1vCPUs|2GB|linux,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,166.8854,0,166.8854,166.8854,0.8,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Mar 2023,web-platform,0,evs-orphan-01,evs-orphan-01,,hws.service.type.ebs,Elastic Volume Service,hws.resource.type.volume,Elastic Volume Service,OFFI535300000000005002,High IO Ondemand,SAS,High IO,High IO,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,257.1061,0,257.1061,257.1061,,False
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Mar 2023,web-platform,0,evs-active-02,evs-active-02,,hws.service.type.ebs,Elastic Volume Service,hws.resource.type.volume,Elastic Volume Service,OFFI535300000000006002,High IO Ondemand,SAS,High IO,High IO,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,309.3976,0,309.3976,309.3976,,True
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Mar 2023,web-platform,0,rds-prod-01,rds-prod-01,,hws.service.type.rds,Relational Database Service,hws.resource.type.rds,Relational Database Service,OFFI535300000000007002,rds.pg.c6.large Ondemand,rds.pg.c6.large,rds.pg.c6.large|2vCPUs|8GB,rds.pg.c6.large|2vCPUs|8GB,,,,ae-ad-1,UAE-Abu Dhabi,Duration,1,Second,On Demand,Unreserved,4019.3767,0,4019.3767,4019.3767,,
8f3c1a2b4e5d6f7a8b9c0d1e2f3a4b5c,Contoso,Mar 2023,web-platform,0,obs-assets-01,obs-assets-01,,hws.service.type.obs,Object Storage Service,hws.resource.type.obs,Cloud Storage,OFFI535300000000008002,Object Storage Service Ondemand,0,Object Storage Service,Object Storage Service,,,,ae-ad-1,UAE-Abu Dhabi,size,1,GB,On Demand,Unreserved,442.1543,0,442.1543,442.1543,,
